date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:53	37344/37344	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2001:49:46%20GMT	https://medcare-template.webflow.io/about-us	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/about-us.html	(from )
16:36:54	20/20	U-----	200	untouched ('OK')	text/plain	date:Sun,%2010%20Nov%202024%2010:17:01%20GMT	https://medcare-template.webflow.io/robots.txt		(from )
16:36:54	210138/210138	---M-Z	200	added ('OK')	text/css	etag:%225f55d022497d6ea0f24817a886b66237%22	https://assets-global.website-files.com/65c992c37023d69385565acc/css/medcare-template.webflow.1b5882e1f.css	C:/Users/user/Desktop/master/project2/assets-global.website-files.com/65c992c37023d69385565acc/css/medcare-template.webflow.1b5882e1f.css	(from https://medcare-template.webflow.io/about-us)
16:36:54	810/810	---M--	200	added ('OK')	image/png	etag:%22cb2b038320b7e5633a89fba09d1c0b9b%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65c9dc31c6aa622c981c7036_favicon_32x32px.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65c9dc31c6aa622c981c7036_favicon_32x32px.png	(from https://medcare-template.webflow.io/about-us)
16:36:54	5291/5291	---M--	200	added ('OK')	image/png	etag:%229aff780a91f586402f613828dfd27b7d%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65c9dc398a42023d2fd60f43_webclip_256x256px.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65c9dc398a42023d2fd60f43_webclip_256x256px.png	(from https://medcare-template.webflow.io/about-us)
16:36:55	3756/3756	---M--	200	added ('OK')	image/png	etag:%22289f3791fad1e1f5da109d3b199d96f5%22	https://cdn.prod.website-files.com/65c992c37023d69385565acc/65c9a4e9f78ae07595c9f519_medcare-logo.png	C:/Users/user/Desktop/master/project2/cdn.prod.website-files.com/65c992c37023d69385565acc/65c9a4e9f78ae07595c9f519_medcare-logo.png	(from https://medcare-template.webflow.io/about-us)
16:36:55	77704/77704	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2010:21:20%20GMT	https://medcare-template.webflow.io/home-page/home-one	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/home-page/home-one.html	(from https://medcare-template.webflow.io/about-us)
16:36:55	75892/75892	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2010:19:16%20GMT	https://medcare-template.webflow.io/home-page/home-two	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/home-page/home-two.html	(from https://medcare-template.webflow.io/about-us)
16:36:55	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Nov%202024%2013:36:55%20GMT	https://medcare-template.webflow.io/	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/index.html	(from https://medcare-template.webflow.io/about-us)
16:36:55	34873/34873	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2001:00:22%20GMT	https://medcare-template.webflow.io/doctors	C:/Users/user/Desktop/master/project2/medcare-template.webflow.io/doctors.html	(from https://medcare-template.webflow.io/about-us)
